timestamp,depth_beneath_rov,wing_pos_port,wing_pos_sb,roll,pitch,depth
1620125105.3206189,-49.17647058823529,-35.0,-35.0,-1.159096614119741e-14,-0.15507377650970097,-0.25409320560598203
1620125105.4167058,-49.17647058823529,-35.0,-35.0,-9.054313268799214e-15,-0.14492976523311582,-0.2532798721942812
1620125105.5117922,-49.17647058823529,-35.0,-35.0,-9.14942968399367e-15,-0.14765401236148415,-0.25384363015713995
1620125105.606878,-49.17647058823529,-35.0,-35.0,-9.14942968399367e-15,-0.14894070836639176,-0.25417380935174994
1620125105.7019649,-49.17647058823529,-35.0,-35.0,-9.472038836212161e-15,-0.15041369935527982,-0.2546094275694539
1620125105.7970521,-49.17647058823529,-35.0,-35.0,-9.541984365539155e-15,-0.15268643844019225,-0.25542222042589646
1620125105.8901348,-49.17647058823529,-35.0,-35.0,-9.604332181383142e-15,-0.15413498886580418,-0.25542222042589646
1620125105.9862225,-49.17647058823529,-35.0,-35.0,-9.472038836212161e-15,-0.15546370732366727,-0.2567178093982281
1620125106.0803077,-49.17647058823529,-35.0,-35.0,-9.764680190985165e-15,-0.15633811171014478,-0.257218459811822
1620125106.1773965,-49.17647058823529,-35.0,-35.0,-9.7973777114532e-15,-0.15789681335839034,-0.25826745616358054
1620125106.2724824,-49.17647058823529,-35.0,-35.0,-9.944488043069943e-15,-0.15858287678058688,-0.25881304321539145
1620125106.367569,-49.17647058823529,-35.0,-35.0,-1.0083711948935922e-14,-0.15920895401021942,-0.2561419138262381
1620125106.463656,-49.17647058823529,-35.0,-35.0,-1.0219727339651751e-14,-0.16048163257576112,-0.26075544208552104
1620125106.5577414,-49.17647058823529,-35.0,-35.0,-1.0492136526749252e-14,-0.15633811171014478,-0.26134883659472724
1620125106.6528275,-49.17647058823529,-35.0,-35.0,-9.764680190985165e-15,-0.16166685415643237,-0.2625603064986832
1620125106.7459118,-49.17647058823529,-35.0,-35.0,-9.7973777114532e-15,-0.16203348889746136,-0.26330153692179586
1620125106.841999,-49.17647058823529,-35.0,-35.0,-1.0969101818900948e-14,-0.16229877938981344,-0.25826745616358054
1620125106.9360843,-49.17647058823529,-35.0,-35.0,-1.1052914407339306e-14,-0.16273376248558133,-0.2651912137186969
1620125107.0321717,-49.17647058823529,-35.0,-35.0,-1.108395416746726e-14,-0.15920895401021942,-0.26583027061963754
1620125107.1252565,-49.17647058823529,-35.0,-35.0,-1.0083711948935922e-14,-0.16319823563305846,-0.26711783529073835
1620125107.2193415,-49.17647058823529,-35.0,-35.0,-1.1156396796459108e-14,-0.16331570369883333,-0.26776512609944525
1620125107.3164296,-49.17647058823529,-35.0,-35.0,-1.1213674770068806e-14,-0.16351130164523672,-0.2690629717942682
1620125107.412517,-49.17647058823529,-35.0,-35.0,-1.0349314157060988e-14,-0.16092327786000452,-0.2697123962626275
1620125107.508604,-49.17647058823529,-35.0,-35.0,-1.1261069361398053e-14,-0.16368670985601227,-0.27049107753897295
1620125107.6016884,-49.17647058823529,-35.0,-35.0,-1.1226432295532766e-14,-0.16382836805012857,-0.27178409457494324
1620125107.6977758,-49.17647058823529,-35.0,-35.0,-1.1221118103484639e-14,-0.16389749213044338,-0.2625603064986832
1620125107.7938635,-49.17647058823529,-35.0,-35.0,-1.1219977928580225e-14,-0.16404008981635443,-0.2737041534328062
1620125107.888949,-49.17647058823529,-35.0,-35.0,-1.0868554979908301e-14,-0.16413090972920705,-0.27446243127539705
1620125107.9830346,-49.17647058823529,-35.0,-35.0,-1.1306115127453092e-14,-0.16429592209873692,-0.27571090754053357
